latitude,longitude,walkscore,bikescore,transitscore
44.91729,-92.8868,11,null,null
44.91569,-92.88423,4,null,null
44.89513,-92.88347,1,null,null
44.93003,-92.87927,2,null,null
44.90821,-93.18477,41,61,null
44.96785,-93.16861,67,65,null
44.90437,-93.16231,61,66,null
44.98616,-93.16142,54,56,null
44.94035,-93.15957,74,74,null
44.98583,-93.15952,51,56,null
44.93419,-93.1512,53,63,null
44.93331,-93.13976,60,56,null
44.94411,-93.12237,84,65,null
44.93605,-93.11123,58,71,null
44.92774,-93.10442,42,44,null
44.93859,-93.1025,66,67,null
44.99644,-93.09536,28,null,null
44.97755,-93.0714,82,53,null
44.92418,-93.06879,23,22,null
44.98997,-93.02975,67,57,null
44.99057,-93.02106,69,61,null
44.91174,-92.98061,18,null,null
44.93459,-92.97666,30,null,null
44.96131,-92.96844,37,null,null
45.01828,-92.96684,9,null,null
44.97037,-92.96654,36,null,null
45.02312,-92.9558,1,null,null
44.91034,-92.94729,9,null,null
44.90655,-92.87053,11,null,null
44.90304,-92.869,6,null,null
45.03068,-92.86579,9,null,null
44.94757,-93.19785,38,67,null
44.90714,-93.1789,39,35,null
44.94405,-93.17315,78,78,null
44.96092,-93.15541,63,73,null
44.9459,-93.1525,67,81,null
44.94133,-93.14192,88,73,null
44.98981,-93.11917,22,27,null
44.93156,-93.09259,54,56,null
45.00508,-93.07108,5,null,null
44.98442,-93.06713,63,65,null
44.9732,-93.05344,54,61,null
45.03185,-93.03366,50,null,null
44.94779,-93.03057,41,43,null
44.96229,-93.02673,44,52,null
44.96287,-93.01849,34,58,null
44.98136,-93.01136,12,51,null
44.97657,-93.0095,6,48,null
44.90842,-92.97602,21,null,null
44.92186,-92.95309,49,null,null
44.9765,-92.95079,9,null,null
44.88072,-92.91878,1,null,null
44.90372,-92.88992,2,null,null
44.89541,-92.87271,0,null,null
44.9278,-92.87209,0,null,null
44.93452,-93.17793,72,72,null
44.96138,-93.15556,63,73,null
44.92533,-93.15528,76,61,null
44.95927,-93.14816,65,68,null
44.97761,-93.12908,37,70,null
45.00042,-93.0726,13,null,null
44.953,-93.06363,57,60,null
44.98884,-93.04418,35,55,null
44.9795,-93.03789,65,66,null
44.94528,-93.03202,19,32,null
44.97011,-93.02447,50,46,null
44.9701,-93.01075,22,53,null
45.03325,-92.99846,13,null,null
44.91908,-92.99758,2,null,null
44.92157,-92.99572,7,null,null
44.97551,-92.98899,45,null,null
44.90762,-92.97621,17,null,null
44.89367,-92.95458,4,null,null
44.92318,-92.90911,8,null,null
44.91768,-92.87831,5,null,null
44.91262,-93.17282,45,45,null
44.90606,-93.15378,28,52,null
44.99573,-93.09556,28,null,null
44.95212,-93.09167,95,56,null
45.02209,-93.04578,14,null,null
44.9847,-93.04278,48,65,null
44.91926,-93.00133,2,null,null
44.91453,-92.98628,5,null,null
44.89073,-92.97759,1,null,null
44.94258,-92.97498,20,null,null
44.90759,-92.97432,19,null,null
44.96821,-92.97324,22,null,null
44.89985,-92.96956,7,null,null
44.90213,-92.96732,14,null,null
45.01804,-92.96583,9,null,null
44.92264,-92.9208,21,null,null
44.89568,-92.89269,2,null,null
44.92594,-93.19032,56,76,null
44.91696,-93.17229,55,54,null
44.94583,-93.16826,83,80,null
44.98563,-93.15955,51,62,null
44.93328,-93.11574,55,73,null
44.9442,-93.11093,78,66,null
44.96456,-93.09689,57,54,null
44.92647,-93.09475,47,41,null
44.96342,-93.0762,79,78,null
44.96777,-93.07124,82,68,null
44.94878,-93.05722,58,70,null
45.03359,-93.03291,50,null,null
45.00133,-93.02762,17,null,null
44.98392,-93.01361,21,57,null
44.99819,-93.0098,24,null,null
44.96416,-93.00663,40,63,null
44.90584,-92.95998,18,null,null
44.95525,-92.95224,25,null,null
44.9128,-92.91743,7,null,null
44.9536,-92.9059,11,null,null
44.93643,-92.90444,28,null,null
44.92883,-92.88002,2,null,null
44.92915,-92.87838,1,null,null
44.96725,-93.20661,71,85,null
44.94285,-93.18391,70,75,null
44.94834,-93.17258,77,77,null
44.92632,-93.1683,69,67,null
44.9839,-93.16408,62,61,null
44.95745,-93.15388,72,76,null
44.95325,-93.13388,75,66,null
44.94023,-93.12666,87,74,null
44.93326,-93.07959,74,55,null
44.95811,-93.07824,71,65,null
44.97314,-93.07484,84,50,null
44.97588,-93.0648,81,53,null
44.98026,-93.05272,49,69,null
44.9959,-93.04301,29,null,null
44.96933,-93.03827,41,51,null
44.97403,-93.02899,47,47,null
44.9593,-93.02099,44,57,null
44.90757,-92.97429,19,null,null
45.01858,-92.96677,9,null,null
44.9298,-92.92893,28,null,null
44.9274,-92.9198,6,null,null
44.87474,-92.91114,0,null,null
44.93739,-92.9053,34,null,null
44.91603,-92.90124,17,null,null
44.9189,-92.89251,15,null,null
44.90119,-92.87365,6,null,null
44.93254,-93.19672,30,68,null
44.95305,-93.18838,53,70,null
44.9027,-93.18775,29,54,null
44.92497,-93.16834,65,64,null
44.92626,-93.15591,77,64,null
44.92443,-93.15222,70,59,null
44.95798,-93.11636,86,83,null
44.97679,-93.11474,52,51,null
44.92504,-93.10054,64,59,null
44.91969,-93.07952,57,39,null
44.98985,-93.07946,17,50,null
44.98222,-93.06493,70,73,null
44.95419,-93.02992,49,42,null
44.96301,-93.02873,43,52,null
44.98558,-92.98459,24,null,null
44.99124,-92.97405,5,null,null
44.97852,-92.94631,0,null,null
44.92645,-92.93763,34,null,null
44.86956,-92.92027,0,null,null
44.92578,-92.91731,5,null,null
44.93386,-92.89559,6,null,null
44.93992,-92.89184,30,null,null
44.89605,-92.88472,1,null,null
44.90755,-92.86903,10,null,null
44.93695,-93.19162,50,82,null
44.91262,-93.17091,42,43,null
44.9628,-93.13603,48,62,null
44.99162,-93.13364,28,44,null
44.93348,-93.08246,77,45,null
44.9801,-93.08018,57,47,null
44.99361,-93.06896,14,null,null
44.9623,-93.03153,38,47,null
44.97336,-93.02794,47,43,null
44.98735,-93.02685,71,58,null
44.96798,-93.02089,40,46,null
44.957,-93.01732,54,58,null
45.01975,-92.9821,37,null,null
44.98165,-92.96965,3,null,null
44.89238,-92.93133,9,null,null
44.91434,-92.89271,5,null,null
44.93739,-93.17691,78,72,null
44.93272,-93.15696,63,69,null
44.9884,-93.15561,57,56,null
44.92065,-93.13993,57,69,null
44.95235,-93.13063,76,66,null
44.93093,-93.13054,61,73,null
44.98777,-93.11638,34,37,null
44.97245,-93.10584,69,52,null
44.916,-93.07605,59,null,null
44.92417,-93.07044,28,26,null
45.01891,-93.0656,6,null,null
44.95014,-93.04911,42,65,null
45.01951,-93.02682,28,null,null
44.98186,-93.01801,33,58,null
44.96822,-93.01294,31,52,null
44.92533,-92.98985,8,null,null
44.98018,-92.97228,4,null,null
44.90088,-92.9685,11,null,null
45.01893,-92.96579,10,null,null
45.01508,-92.94905,0,null,null
44.91673,-92.94874,20,null,null
44.96028,-92.92611,6,null,null
44.94201,-92.92536,57,null,null
44.92973,-92.91065,7,null,null
44.89972,-92.88554,2,null,null
45.00751,-92.88166,17,null,null
44.97898,-93.19299,72,75,null
44.92677,-93.19181,54,78,null
44.93072,-93.17049,63,68,null
44.99034,-93.15296,67,54,null
44.96097,-93.15254,53,69,null
44.92586,-93.15195,73,65,null
44.96095,-93.14259,61,60,null
44.98937,-93.13141,20,41,null
44.95845,-93.12881,83,73,null
44.93787,-93.12588,82,73,null
44.95674,-93.12286,88,84,null
44.98375,-93.12016,34,46,null
44.99807,-93.09326,27,null,null
44.93545,-93.08777,59,51,null
44.92925,-93.08633,70,40,null
44.98183,-93.06526,74,68,null
44.97925,-93.05857,67,71,null
44.96926,-93.05777,66,61,null
44.98582,-93.02433,71,63,null
44.98042,-93.02148,37,57,null
44.98269,-93.01763,33,58,null
44.98375,-93.0144,27,58,null
44.95853,-93.00486,42,65,null
44.99168,-93.00367,28,null,null
44.92255,-93.00244,7,null,null
45.01879,-92.96389,9,null,null
44.94427,-92.95023,35,null,null
44.9426,-92.95007,36,null,null
44.94323,-92.92332,57,null,null
44.92074,-92.91859,11,null,null
44.87144,-92.9174,0,null,null
44.93232,-92.89699,7,null,null
44.90492,-92.88775,2,null,null
44.91998,-92.8642,0,null,null
44.93444,-93.15779,62,68,null
44.94762,-93.14622,75,69,null
44.9894,-93.13899,45,56,null
44.98262,-93.12015,32,45,null
44.94439,-93.11568,78,77,null
44.97809,-93.08278,65,55,null
44.97855,-93.07958,65,49,null
44.97538,-93.03849,66,69,null
44.9524,-93.03053,51,44,null
44.97534,-93.02667,47,50,null
44.96507,-93.01403,37,58,null
44.97506,-93.01228,13,50,null
44.97398,-93.01227,13,50,null
44.92666,-92.99156,9,null,null
44.91018,-92.98799,2,null,null
44.89612,-92.97173,3,null,null
44.95641,-92.96687,46,null,null
44.99271,-92.95664,3,null,null
44.96896,-92.95187,25,null,null
44.94248,-92.89455,48,null,null
44.93974,-92.89197,30,null,null
44.8989,-92.88456,3,null,null
44.98894,-92.87064,1,null,null
44.93506,-93.16015,63,67,null
44.95941,-93.15258,62,73,null
44.99034,-93.14135,59,53,null
44.93963,-93.13417,90,69,null
44.98786,-93.12879,19,39,null
44.92151,-93.09664,62,41,null
45.0048,-93.06991,5,null,null
44.98187,-93.06324,67,75,null
44.99082,-93.05125,22,57,null
45.03197,-93.048,17,null,null
44.95477,-93.04132,29,43,null
44.96214,-93.03437,35,43,null
44.97684,-93.03017,57,53,null
44.97887,-93.02274,41,56,null
44.95873,-93.01943,47,56,null
44.89644,-92.99383,0,null,null
44.88641,-92.94929,10,null,null
44.94391,-92.94441,38,null,null
44.92322,-92.91379,7,null,null
44.90492,-92.8877,2,null,null
44.90087,-92.88449,2,null,null
44.89125,-92.88425,0,null,null
44.92861,-93.17908,57,72,null
44.94647,-93.17644,80,79,null
44.9296,-93.15613,72,69,null
44.93781,-93.15341,70,null,null
44.98947,-93.14852,72,63,null
44.94508,-93.14577,79,74,null
44.96498,-93.14189,38,63,null
44.99711,-93.09801,20,null,null
44.97833,-93.08153,62,49,null
44.98735,-93.06876,45,56,null
44.99786,-93.0407,30,null,null
44.95969,-93.01884,43,59,null
44.9227,-93.00643,1,27,null
44.90579,-92.99723,1,null,null
45.01406,-92.98269,40,null,null
44.97057,-92.98013,43,null,null
44.9088,-92.97602,21,null,null
44.97969,-92.96121,3,null,null
44.89978,-92.95668,5,null,null
44.89933,-92.95325,6,null,null
44.91489,-92.91927,16,null,null
44.914,-92.89839,13,null,null
44.943,-92.89798,53,null,null
44.89941,-92.88745,2,null,null
44.89866,-92.871,3,null,null
44.93227,-93.19649,30,68,null
44.91245,-93.1852,69,56,null
44.92135,-93.17375,49,60,null
44.90403,-93.16324,63,63,null
44.92859,-93.15587,77,67,null
44.9369,-93.15251,64,69,null
44.94161,-93.14772,86,76,null
44.93328,-93.11578,55,73,null
44.92329,-93.10597,51,57,null
44.96936,-93.09462,24,56,null
44.95032,-93.08563,89,74,null
44.99032,-93.04932,18,56,null
44.91828,-92.96186,37,null,null
44.9351,-92.95101,36,null,null
44.91453,-92.93128,41,null,null
44.90609,-92.93076,5,null,null
44.89291,-92.90233,7,null,null
44.91225,-92.89445,7,null,null
44.9173,-92.88898,10,null,null
44.94611,-93.18235,73,77,null
44.94129,-93.16956,82,75,null
44.9245,-93.16936,62,64,null
44.9878,-93.16656,59,55,null
44.95048,-93.16571,77,80,null
44.96279,-93.15105,42,62,null
44.9223,-93.14233,53,64,null
44.9457,-93.1355,81,63,null
44.92761,-93.13127,68,70,null
44.92377,-93.10301,64,61,null
44.92941,-93.1008,46,60,null
44.99618,-93.09254,30,null,null
44.96304,-93.08376,56,63,null
44.96226,-93.05872,69,66,null
45.03493,-93.05174,2,null,null
44.9496,-93.011,61,76,null
44.92859,-93.00014,17,null,null
44.98704,-92.9957,8,null,null
44.97733,-92.97437,3,null,null
44.96352,-92.97089,42,null,null
44.87113,-92.90914,0,null,null
44.95296,-92.90711,8,null,null
44.97847,-93.16411,61,70,null
44.93598,-93.15829,61,67,null
44.93028,-93.15027,57,68,null
44.96017,-93.15002,62,69,null
44.99,-93.11852,22,27,null
44.96095,-93.11846,77,78,null
44.97838,-93.11368,47,49,null
44.9291,-93.10387,42,45,null
44.92124,-93.0001,3,null,null
44.91582,-92.99002,2,null,null
45.02894,-92.98296,27,null,null
45.00421,-92.97963,18,null,null
44.90813,-92.97756,17,null,null
44.91016,-92.97604,23,null,null
44.92067,-92.95409,36,null,null
44.89356,-92.93941,4,null,null
44.93278,-92.93155,45,null,null
44.8781,-92.91962,0,null,null
44.88469,-92.91817,2,null,null
44.93242,-92.90052,9,null,null
45.0115,-92.89603,0,null,null
44.89104,-92.88705,0,null,null
44.89508,-92.87573,1,null,null
44.91968,-93.17604,59,58,null
44.91411,-93.1731,47,47,null
44.92309,-93.16744,60,62,null
44.943,-93.15569,73,81,null
44.9459,-93.15544,66,83,null
44.96321,-93.15253,45,65,null
44.93619,-93.14982,54,58,null
44.97261,-93.08126,68,49,null
45.00711,-93.08012,13,null,null
44.97865,-93.06777,79,56,null
44.95597,-93.02232,54,48,null
44.98814,-93.01928,63,65,null
44.96692,-93.01657,38,52,null
44.98905,-92.97434,4,null,null
44.98674,-92.96615,9,null,null
44.96965,-92.95264,26,null,null
44.893,-92.94957,5,null,null
44.89301,-92.94073,4,null,null
44.914,-92.91835,16,null,null
44.93313,-93.17618,67,72,null
44.90235,-93.16055,51,60,null
44.96463,-93.15043,38,64,null
44.97401,-93.13979,40,73,null
