DATE,MORTGAGE30US
1/7/2016,3.97
1/14/2016,3.92
1/21/2016,3.81
1/28/2016,3.79
2/4/2016,3.72
2/11/2016,3.65
2/18/2016,3.65
2/25/2016,3.62
3/3/2016,3.64
3/10/2016,3.68
3/17/2016,3.73
3/24/2016,3.71
3/31/2016,3.71
4/7/2016,3.59
4/14/2016,3.58
4/21/2016,3.59
4/28/2016,3.66
5/5/2016,3.61
5/12/2016,3.57
5/19/2016,3.58
5/26/2016,3.64
6/2/2016,3.66
6/9/2016,3.6
6/16/2016,3.54
6/23/2016,3.56
6/30/2016,3.48
7/7/2016,3.41
7/14/2016,3.42
7/21/2016,3.45
7/28/2016,3.48
8/4/2016,3.43
8/11/2016,3.45
8/18/2016,3.43
8/25/2016,3.43
9/1/2016,3.46
9/8/2016,3.44
9/15/2016,3.5
9/22/2016,3.48
9/29/2016,3.42
10/6/2016,3.42
10/13/2016,3.47
10/20/2016,3.52
10/27/2016,3.47
11/3/2016,3.54
11/10/2016,3.57
11/17/2016,3.94
11/23/2016,4.03
12/1/2016,4.08
12/8/2016,4.13
12/15/2016,4.16
12/22/2016,4.3
12/29/2016,4.32
1/5/2017,4.2
1/12/2017,4.12
1/19/2017,4.09
1/26/2017,4.19
2/2/2017,4.19
2/9/2017,4.17
2/16/2017,4.15
2/23/2017,4.16
3/2/2017,4.1
3/9/2017,4.21
3/16/2017,4.3
3/23/2017,4.23
3/30/2017,4.14
4/6/2017,4.1
4/13/2017,4.08
4/20/2017,3.97
4/27/2017,4.03
5/4/2017,4.02
5/11/2017,4.05
5/18/2017,4.02
5/25/2017,3.95
6/1/2017,3.94
6/8/2017,3.89
6/15/2017,3.91
6/22/2017,3.9
6/29/2017,3.88
7/6/2017,3.96
7/13/2017,4.03
7/20/2017,3.96
7/27/2017,3.92
8/3/2017,3.93
8/10/2017,3.9
8/17/2017,3.89
8/24/2017,3.86
8/31/2017,3.82
9/7/2017,3.78
9/14/2017,3.78
9/21/2017,3.83
9/28/2017,3.83
10/5/2017,3.85
10/12/2017,3.91
10/19/2017,3.88
10/26/2017,3.94
11/2/2017,3.94
11/9/2017,3.9
11/16/2017,3.95
11/22/2017,3.92
11/30/2017,3.9
12/7/2017,3.94
12/14/2017,3.93
12/21/2017,3.94
12/28/2017,3.99
1/4/2018,3.95
1/11/2018,3.99
1/18/2018,4.04
1/25/2018,4.15
2/1/2018,4.22
2/8/2018,4.32
2/15/2018,4.38
2/22/2018,4.4
3/1/2018,4.43
3/8/2018,4.46
3/15/2018,4.44
3/22/2018,4.45
3/29/2018,4.44
4/5/2018,4.4
4/12/2018,4.42
4/19/2018,4.47
4/26/2018,4.58
5/3/2018,4.55
5/10/2018,4.55
5/17/2018,4.61
5/24/2018,4.66
5/31/2018,4.56
6/7/2018,4.54
6/14/2018,4.62
6/21/2018,4.57
6/28/2018,4.55
7/5/2018,4.52
7/12/2018,4.53
7/19/2018,4.52
7/26/2018,4.54
8/2/2018,4.6
8/9/2018,4.59
8/16/2018,4.53
8/23/2018,4.51
8/30/2018,4.52
9/6/2018,4.54
9/13/2018,4.6
9/20/2018,4.65
9/27/2018,4.72
10/4/2018,4.71
